Customer_ID, Ingredient_1, Ingredient_2, Ingredient_3
C37, Lettuce, Tomatoes, nil
C56, Lettuce, Tomatoes, nil
C8, Lettuce, Olives, Pickles
C6, Onions, Pickles, Olives
C38, Pickles, nil, nil
C52, Olives, Pickles, nil
C15, Pepperoni, Onions, nil
C25, Pepperoni, Cucumbers, Lettuce
C60, Tomatoes, nil, nil
C3, Olives, nil, nil
C2, Tomatoes, nil, nil
C26, Lettuce, Pepperoni, Onions
C45, Tomatoes, Mushrooms, nil
C18, Onions, Pickles, Olives
C11, Olives, Pepperoni, nil
C19, Turkey, Cheese, nil
C16, Cucumbers, Onions, Lettuce
C29, Olives, Pickles, Tomatoes
C27, Olives, Cheese, nil
C58, Onions, nil, nil
C41, Lettuce, nil, nil
C31, Pepperoni, Mushrooms, Tomatoes
C48, Olives, nil, nil
C5, Olives, nil, nil
C30, Mushrooms, Tomatoes, Pickles
C49, Cheese, nil, nil
C42, Cucumbers, Tomatoes, Onions
C40, Cucumbers, nil, nil
C39, Mushrooms, nil, nil
C59, Turkey, Tomatoes, nil
C51, Onions, nil, nil
C33, Pepperoni, nil, nil
C35, Cheese, Pickles, nil
C23, Cucumbers, nil, nil
C46, Pickles, Onions, nil
C55, Lettuce, Turkey, nil
C57, Mushrooms, nil, nil
C17, Turkey, nil, nil
C34, Pickles, Mushrooms, nil
C13, Lettuce, Pickles, Cheese
C44, Turkey, Olives, nil
C1, Tomatoes, nil, nil
C47, Lettuce, Cheese, nil
C9, Onions, Cheese, nil
C54, Cheese, Lettuce, Cucumbers
C43, Onions, Cheese, Mushrooms
C32, Mushrooms, nil, nil
C14, Pickles, Turkey, Tomatoes
C20, Cheese, Olives, nil
C10, Turkey, Onions, nil
C21, Pickles, Turkey, nil
C4, Pepperoni, nil, nil
C36, Tomatoes, nil, nil
C50, Onions, Lettuce, nil
C28, Onions, Olives, Lettuce
C22, Cheese, Pepperoni, Mushrooms
C12, Turkey, nil, nil
C53, Pickles, Cucumbers, nil
C24, Pepperoni, nil, nil
C7, Lettuce, nil, nil
